service_id,date,exception_type
1,20200601,1
13,20200526,2
13,20200527,2
13,20200528,2
13,20200529,2
13,20200601,2
13,20200602,2
13,20200603,2
13,20200604,2
13,20200605,2
13,20200608,2
13,20200609,2
13,20200610,2
13,20200611,2
13,20200612,2
13,20200615,2
13,20200616,2
13,20200617,2
13,20200618,2
13,20200619,2
13,20200622,2
13,20200623,2
13,20200624,2
13,20200625,2
13,20200626,2
13,20200629,2
13,20200630,2
13,20200701,2
13,20200702,2
13,20200703,2
13,20200720,2
13,20200721,2
13,20200722,2
13,20200723,2
13,20200724,2
13,20200727,2
13,20200728,2
13,20200729,2
13,20200730,2
13,20200731,2
13,20200803,2
13,20200804,2
13,20200805,2
13,20200806,2
13,20200807,2
13,20200810,2
13,20200811,2
13,20200812,2
13,20200813,2
13,20200814,2
13,20200817,2
13,20200818,2
13,20200819,2
13,20200820,2
13,20200821,2
13,20200824,2
15,20200601,2
15,20200706,2
15,20200707,2
15,20200708,2
15,20200709,2
15,20200710,2
15,20200713,2
15,20200714,2
15,20200715,2
15,20200716,2
15,20200717,2
19,20200708,2
19,20200715,2
20,20200601,1
21,20200601,1
23,20200608,2
23,20200615,2
23,20200622,2
23,20200629,2
23,20200706,2
23,20200713,2
23,20200720,2
23,20200727,2
23,20200803,2
23,20200810,2
23,20200817,2
23,20200824,2
28,20200601,2
28,20200622,2
28,20200623,2
28,20200624,2
28,20200625,2
28,20200626,2
28,20200629,2
28,20200630,2
28,20200701,2
28,20200702,2
28,20200703,2
28,20200706,2
28,20200707,2
28,20200708,2
28,20200709,2
28,20200710,2
28,20200713,2
28,20200714,2
28,20200715,2
28,20200716,2
28,20200717,2
28,20200720,2
28,20200721,2
28,20200722,2
28,20200723,2
28,20200724,2
28,20200727,2
28,20200728,2
28,20200729,2
28,20200730,2
28,20200731,2
29,20200601,2
29,20200615,2
29,20200616,2
29,20200617,2
29,20200618,2
29,20200619,2
29,20200622,2
29,20200623,2
29,20200624,2
29,20200625,2
29,20200626,2
29,20200629,2
29,20200630,2
29,20200701,2
29,20200702,2
29,20200703,2
29,20200706,2
29,20200707,2
29,20200708,2
29,20200709,2
29,20200710,2
29,20200713,2
29,20200714,2
29,20200715,2
29,20200716,2
29,20200717,2
32,20200601,2
33,20200601,1
34,20200707,2
34,20200714,2
35,20200709,2
35,20200716,2
36,20200710,2
36,20200717,2
38,20200601,2
38,20200706,2
38,20200707,2
38,20200708,2
38,20200709,2
38,20200713,2
38,20200714,2
38,20200715,2
38,20200716,2
39,20200707,2
39,20200708,2
39,20200709,2
39,20200710,2
39,20200714,2
39,20200715,2
39,20200716,2
39,20200717,2
40,20200601,2
40,20200706,2
40,20200707,2
40,20200708,2
40,20200710,2
40,20200713,2
40,20200714,2
40,20200715,2
40,20200717,2
41,20200601,2
41,20200706,2
41,20200708,2
41,20200709,2
41,20200710,2
41,20200713,2
41,20200715,2
41,20200716,2
41,20200717,2
42,20200601,2
42,20200706,2
42,20200707,2
42,20200709,2
42,20200710,2
42,20200713,2
42,20200714,2
42,20200716,2
42,20200717,2
46,20200601,2
46,20200707,1
46,20200714,1
53,20200601,2
53,20200706,2
53,20200707,2
53,20200708,2
53,20200713,2
53,20200714,2
53,20200715,2
60,20200601,2
61,20200601,2
61,20200707,1
61,20200709,1
61,20200714,1
61,20200716,1
62,20200707,2
62,20200709,2
62,20200714,2
62,20200716,2
71,20200601,2
80,20200601,2
80,20200706,2
80,20200710,2
80,20200713,2
80,20200717,2
88,20200601,1
128,20200601,1
134,20200608,2
134,20200615,2
134,20200622,2
134,20200629,2
134,20200706,2
134,20200713,2
134,20200720,2
134,20200727,2
134,20200803,2
134,20200810,2
134,20200817,2
134,20200824,2
143,20200601,2
143,20200622,2
143,20200623,2
143,20200624,2
143,20200625,2
143,20200629,2
143,20200630,2
143,20200701,2
143,20200702,2
143,20200706,2
143,20200707,2
143,20200708,2
143,20200709,2
143,20200713,2
143,20200714,2
143,20200715,2
143,20200716,2
180,20200601,2
180,20200706,2
180,20200707,2
180,20200708,2
180,20200709,2
180,20200710,2
180,20200713,2
180,20200714,2
180,20200715,2
180,20200716,2
180,20200717,2
184,20200601,1
192,20200608,2
192,20200615,2
192,20200622,2
192,20200629,2
192,20200706,2
192,20200713,2
192,20200720,2
192,20200727,2
192,20200803,2
192,20200810,2
192,20200817,2
192,20200824,2
203,20200526,1
203,20200528,1
203,20200602,1
203,20200604,1
203,20200609,1
203,20200611,1
203,20200616,1
203,20200618,1
203,20200623,1
203,20200625,1
203,20200630,1
203,20200702,1
203,20200707,1
203,20200709,1
203,20200714,1
203,20200716,1
203,20200721,1
203,20200723,1
203,20200728,1
203,20200730,1
203,20200804,1
203,20200806,1
203,20200811,1
203,20200813,1
203,20200818,1
203,20200820,1
204,20200526,1
204,20200528,1
204,20200602,1
204,20200604,1
204,20200609,1
204,20200611,1
204,20200616,1
204,20200618,1
204,20200623,1
204,20200625,1
204,20200630,1
204,20200702,1
204,20200707,1
204,20200709,1
204,20200714,1
204,20200716,1
204,20200721,1
204,20200723,1
204,20200728,1
204,20200730,1
204,20200804,1
204,20200806,1
204,20200811,1
204,20200813,1
204,20200818,1
204,20200820,1
205,20200531,1
205,20200607,1
205,20200614,1
205,20200621,1
205,20200628,1
205,20200705,1
205,20200712,1
205,20200719,1
205,20200726,1
205,20200802,1
205,20200809,1
205,20200816,1
205,20200823,1
206,20200527,1
206,20200529,1
206,20200601,1
206,20200603,1
206,20200605,1
206,20200608,1
206,20200610,1
206,20200612,1
206,20200615,1
206,20200617,1
206,20200619,1
206,20200622,1
206,20200624,1
206,20200626,1
206,20200629,1
206,20200701,1
206,20200703,1
206,20200706,1
206,20200708,1
206,20200710,1
206,20200713,1
206,20200715,1
206,20200717,1
206,20200720,1
206,20200722,1
206,20200724,1
206,20200727,1
206,20200729,1
206,20200731,1
206,20200803,1
206,20200805,1
206,20200807,1
206,20200810,1
206,20200812,1
206,20200814,1
206,20200817,1
206,20200819,1
